名前,卒園年度,住所,遠方近郊,保護者名,保護者のメールアドレス,在園兄弟の有無
山村 貴嶺,2016,和歌山県,遠方,山村 翔子,yamamura_takane@example.com,無
片瀬 玲那,2016,埼玉県,遠方,片瀬 凛子,katase_rena@example.com,無
片瀬 健太,2014,埼玉県,遠方,片瀬 凛子,katase_rena@example.com,無
浅野 雄太,2007,東京都,遠方,浅野 直子,asano_yuuta@example.com,有
市川 光,2015,神奈川県,遠方,市川 蓮子,ichikawa_hikaru@example.com,有
市川 波,2015,神奈川県,遠方,市川 蓮子,ichikawa_hikaru@example.com,有
森谷 妃里,2001,新潟県,遠方,森谷 貞子,moriya_yuri@example.com,無
北野 涼,2001,福島県,遠方,北野 花実,kitano_ryou@example.com,無
北野 暑,1999,福島県,遠方,北野 花実,kitano_ryou@example.com,無
芳賀 直人,2016,兵庫県,近郊,芳賀 涼子,haga_naoto@example.com,有
野原 六郎,2016,大分県,近郊,野原 美彩,nohara_rokurou@example.com,有
野原 慎之介,2016,大分県,近郊,野原 美彩,nohara_rokurou@example.com,有
狩野 由宇,2005,和歌山県,近郊,狩野 勇子,kano_yuu@example.com,有
島 俊二,2006,埼玉県,近郊,島 情子,shima_shunji@example.com,有
島 俊一,2002,埼玉県,近郊,島 情子,shima_shunji@example.com,有
佐藤 法子,2010,北海道,近郊,佐藤 点子,satou_noriko@example.com,無
秋山 昴,2011,秋田県,近郊,秋山 姫子,akiyama_subaru@example.com,無
秋山 俊,2012,秋田県,近郊,秋山 姫子,akiyama_subaru@example.com,無
鈴木 亮太,1995,山梨県,遠方,鈴木 美咲,suzuki_misaki@example.com,有
薄田 元吉,1996,山梨県,遠方,薄田 市子,susukida_ichiko@example.com,有
薄田 由吉,1996,山梨県,遠方,薄田 市子,susukida_ichiko@example.com,有
岸田 仁,2014,長崎県,近郊,岸田 芯子,kishida_shinko@example.com,無
青山 連,2013,宮城県,近郊,青山 青子,aoyama_aoko@example.com,無
青山 庄司,2015,宮城県,近郊,青山 青子,aoyama_aoko@example.com,無
